ID,SetNumber,URL,Images,Description,Notes,DashedNumber
7205,70704,https://www.lego.com/biassets/bi/6036731.pdf,https://www.lego.com/biassets/biimg/6036731.png,Vermin Vaporizer,BI 3017 / 32 - 70704 V39 2/2,70704-1
7206,70704,https://www.lego.com/biassets/bi/6044634.pdf,https://www.lego.com/biassets/biimg/6044634.png,Vermin Vaporizer,BI 3017 / 80+4 - 70704 V39 1/2,70704-1
7207,70704,https://www.lego.com/biassets/bi/6036730.pdf,https://www.lego.com/biassets/biimg/6036730.png,Vermin Vaporizer,BI 3017 / 32 - 70704 V29 2/2,70704-1
7208,70704,https://www.lego.com/biassets/bi/6044632.pdf,https://www.lego.com/biassets/biimg/6044632.png,Vermin Vaporizer,BI 3017 / 80+4 - 70704 V29 1/2,70704-1
7209,70705,https://www.lego.com/biassets/bi/6040340.pdf,https://www.lego.com/biassets/biimg/6040340.png,Bug Obliterator,BI 3016 80+4*-  70705 V39,70705-1
7210,70705,https://www.lego.com/biassets/bi/6040338.pdf,https://www.lego.com/biassets/biimg/6040338.png,Bug Obliterator,BI 3016 80+4*-  70705 V29,70705-1
7211,70706,https://www.lego.com/biassets/bi/6051133.pdf,https://www.lego.com/biassets/biimg/6051133.png,Crater Creeper,BI 3004/48 - 70706 V29,70706-1
7212,70706,https://www.lego.com/biassets/bi/6051134.pdf,https://www.lego.com/biassets/biimg/6051134.png,Crater Creeper,BI 3004/48 - 70706 V39,70706-1
7213,70707,https://www.lego.com/biassets/bi/6050942.pdf,https://www.lego.com/biassets/biimg/6050942.png,CLS-89 Eradicator Mech,BI 3017 / 32 - 70707 V29 2/2,70707-1
7214,70707,https://www.lego.com/biassets/bi/6050943.pdf,https://www.lego.com/biassets/biimg/6050943.png,CLS-89 Eradicator Mech,BI 3017 / 32 - 70707 V39 2/2,70707-1
7215,70707,https://www.lego.com/biassets/bi/6062678.pdf,https://www.lego.com/biassets/biimg/6062678.png,CLS-89 Eradicator Mech,BI 3017 / 60 - 70707 V39 1/2,70707-1
7216,70707,https://www.lego.com/biassets/bi/6062675.pdf,https://www.lego.com/biassets/biimg/6062675.png,CLS-89 Eradicator Mech,BI 3017 / 60 - 70707 V29 1/2,70707-1
7217,70708,https://www.lego.com/biassets/bi/6050948.pdf,https://www.lego.com/biassets/biimg/6050948.png,Hive Crawler,BI 3017 / 60 - 70708 V29 2/2,70708-1
7218,70708,https://www.lego.com/biassets/bi/6050950.pdf,https://www.lego.com/biassets/biimg/6050950.png,Hive Crawler,BI 3017 / 60 - 70708 V39 2/2,70708-1
7219,70708,https://www.lego.com/biassets/bi/6081340.pdf,https://www.lego.com/biassets/biimg/6081340.png,Hive Crawler,BI 3017 / 56 - 65g-70708 V29 1/2,70708-1
7220,70708,https://www.lego.com/biassets/bi/6081341.pdf,https://www.lego.com/biassets/biimg/6081341.png,Hive Crawler,BI 3017 / 56 - 65g-70708 V39 1/2,70708-1
7221,70709,https://www.lego.com/biassets/bi/6052390.pdf,https://www.lego.com/biassets/biimg/6052390.png,Galactic Titan,BI 3019/72+4*- 70709 1/2 v.39,70709-1
7222,70709,https://www.lego.com/biassets/bi/6052387.pdf,https://www.lego.com/biassets/biimg/6052387.png,Galactic Titan,BI 3019/72+4*- 70709 v29 1/2,70709-1
7223,70709,https://www.lego.com/biassets/bi/6050958.pdf,https://www.lego.com/biassets/biimg/6050958.png,Galactic Titan,BI 3019/80+4*- 70709 V29 2/2,70709-1
7224,70709,https://www.lego.com/biassets/bi/6050959.pdf,https://www.lego.com/biassets/biimg/6050959.png,Galactic Titan,BI 3019/80+4*- 70709 V39 2/2,70709-1
7225,70720,https://www.lego.com/biassets/bi/6088060.pdf,https://www.lego.com/biassets/biimg/6088060.png,Hover Hunter,BI 3003/28 - 70720 V 29,70720-1
7226,70720,https://www.lego.com/biassets/bi/6088059.pdf,https://www.lego.com/biassets/biimg/6088059.png,Hover Hunter,BI 3003/28 - 70720 V 39,70720-1
7227,70721,https://www.lego.com/biassets/bi/6092493.pdf,https://www.lego.com/biassets/biimg/6092493.png,Kai Fighter,BI 3004/68+4*-70721 V 29,70721-1
7228,70721,https://www.lego.com/biassets/bi/6092495.pdf,https://www.lego.com/biassets/biimg/6092495.png,Kai Fighter,BI 3004/68+4*-70721 V 39,70721-1
7229,70722,https://www.lego.com/biassets/bi/6088066.pdf,https://www.lego.com/biassets/biimg/6088066.png,OverBorg Attack,BI 3004/56 - 70722 V 29,70722-1
7230,70722,https://www.lego.com/biassets/bi/6088067.pdf,https://www.lego.com/biassets/biimg/6088067.png,OverBorg Attack,BI 3004/56 - 70722 V 39,70722-1
7231,70723,https://www.lego.com/biassets/bi/6088069.pdf,https://www.lego.com/biassets/biimg/6088069.png,Thunder Raider,BI 3004 60/70723 V29 2/2,70723-1
7232,70723,https://www.lego.com/biassets/bi/6088070.pdf,https://www.lego.com/biassets/biimg/6088070.png,Thunder Raider,BI 3004 60/70723 V39 2/2,70723-1
7233,70723,https://www.lego.com/biassets/bi/6069214.pdf,https://www.lego.com/biassets/biimg/6069214.png,Thunder Raider,BI 3022/28-65G - 70723 V 29 1/2,70723-1
7234,70723,https://www.lego.com/biassets/bi/6069221.pdf,https://www.lego.com/biassets/biimg/6069221.png,Thunder Raider,BI 3022/28-65G - 70723 V 39 1/2,70723-1
7235,70724,https://www.lego.com/biassets/bi/6088071.pdf,https://www.lego.com/biassets/biimg/6088071.png,NinjaCopter,BI 3019/76+4*- 70724 V 29,70724-1
7236,70724,https://www.lego.com/biassets/bi/6088073.pdf,https://www.lego.com/biassets/biimg/6088073.png,NinjaCopter,BI 3019/76+4*- 70724 V 39,70724-1
7237,70725,https://www.lego.com/biassets/bi/6069227.pdf,https://www.lego.com/biassets/biimg/6069227.png,Nindroid MechDragon,BI 3004/52 - 70725 V 29 1/2,70725-1
7238,70725,https://www.lego.com/biassets/bi/6069228.pdf,https://www.lego.com/biassets/biimg/6069228.png,Nindroid MechDragon,BI 3004/52 - 70725 V 39 1/2,70725-1
7239,70725,https://www.lego.com/biassets/bi/6069229.pdf,https://www.lego.com/biassets/biimg/6069229.png,Nindroid MechDragon,BI 3019/80+4*- 70725 V 29 2/2,70725-1
7240,70725,https://www.lego.com/biassets/bi/6069230.pdf,https://www.lego.com/biassets/biimg/6069230.png,Nindroid MechDragon,BI 3019/80+4*- 70725 V 39 2/2,70725-1
7241,70726,https://www.lego.com/biassets/bi/6088075.pdf,https://www.lego.com/biassets/biimg/6088075.png,Destructoid,BI 3004/68+4*-70726 V29,70726-1
7242,70726,https://www.lego.com/biassets/bi/6088077.pdf,https://www.lego.com/biassets/biimg/6088077.png,Destructoid,BI 3004/68+4*-70726 V39,70726-1
