setID,number,numberVariant,name,year,theme,themeGroup,subtheme,pieces,minifigs,image,imageFilename,thumbnailURL,largeThumbnailURL,imageURL,bricksetURL,released,owned,wanted,qtyOwned,ACMDataCount,ownedByTotal,wantedByTotal,UKRetailPrice,USRetailPrice,CARetailPrice,EURetailPrice,USDateAddedToSAH,USDateRemovedFromSAH,rating,reviewCount,packagingType,availability,instructionsCount,additionalImageCount,ageMin,ageMax,height,width,depth,weight,category,userRating,EAN,UPC,lastUpdated
9157,4428,1,City Advent Calendar,2012,City,Modern day,Seasonal,248,7,true,4428-1,https://images.brickset.com/sets/small/4428-1.jpg,https://images.brickset.com/sets/small/4428-1.jpg,https://images.brickset.com/sets/images/4428-1.jpg,https://brickset.com/sets/4428-1,true,false,false,0,0,3998,814,19.99,39.99,39.99,,2012-08-28,2012-11-23,3,2,Box,Retail - limited,1,8,5,12,26.19,38.2,7.06,0.4,Normal,0,5.70201E+12,6.73419E+11,2012-10-17T22:40:33.44
9158,4429,1,Helicopter Rescue,2012,City,Modern day,Medical,425,4,true,4429-1,https://images.brickset.com/sets/small/4429-1.jpg,https://images.brickset.com/sets/small/4429-1.jpg,https://images.brickset.com/sets/images/4429-1.jpg,https://brickset.com/sets/4429-1,true,false,false,0,0,3732,2144,34.99,59.99,74.99,,2012-07-24,2014-01-03,3.25,8,Box,Retail - limited,6,7,5,12,,,,,Normal,0,5.70201E+12,,2015-12-26T19:08:59.373
8975,4430,1,Fire Transporter,2012,City,Modern day,Forest Fire,522,3,true,4430-1,https://images.brickset.com/sets/small/4430-1.jpg,https://images.brickset.com/sets/small/4430-1.jpg,https://images.brickset.com/sets/images/4430-1.jpg,https://brickset.com/sets/4430-1,true,false,false,0,0,1772,1880,39.99,49.99,64.99,,2011-12-15,2013-12-12,0,0,Box,Retail - limited,6,17,5,12,,,,,Normal,0,,,2015-12-19T21:14:34.877
8936,4431,1,Ambulance,2012,City,Modern day,Medical,199,3,true,4431-1,https://images.brickset.com/sets/small/4431-1.jpg,https://images.brickset.com/sets/small/4431-1.jpg,https://images.brickset.com/sets/images/4431-1.jpg,https://brickset.com/sets/4431-1,true,false,false,0,0,7291,2271,14.99,19.99,24.99,,2011-11-11,2012-11-18,4.428571429,7,Box,Retail,2,5,5,12,19.1,35.41,5.89,0.4,Normal,0,5.70201E+12,6.73419E+11,2012-11-25T22:49:51.023
8937,4432,1,Garbage Truck,2012,City,Modern day,Traffic,208,2,true,4432-1,https://images.brickset.com/sets/small/4432-1.jpg,https://images.brickset.com/sets/small/4432-1.jpg,https://images.brickset.com/sets/images/4432-1.jpg,https://brickset.com/sets/4432-1,true,false,false,0,0,11786,2674,17.99,19.99,24.99,,2011-11-11,2013-11-05,4.133333333,15,Box,Retail,4,5,5,12,19.1,26.2,7.2,0.41,Normal,0,5.70202E+12,6.73419E+11,2012-11-25T22:50:11.263
8938,4433,1,Dirt Bike Transporter,2012,City,Modern day,Traffic,201,2,true,4433-1,https://images.brickset.com/sets/small/4433-1.jpg,https://images.brickset.com/sets/small/4433-1.jpg,https://images.brickset.com/sets/images/4433-1.jpg,https://brickset.com/sets/4433-1,true,false,false,0,0,8478,1847,17.99,19.99,24.99,,2011-12-15,2013-12-02,5,5,Box,Retail,4,15,5,12,19.1,26.2,6.1,0.36,Normal,0,5.70202E+12,6.73419E+11,2012-11-25T22:50:26.017
8940,4434,1,Dump Truck,2012,City,Modern day,Traffic,222,2,true,4434-1,https://images.brickset.com/sets/small/4434-1.jpg,https://images.brickset.com/sets/small/4434-1.jpg,https://images.brickset.com/sets/images/4434-1.jpg,https://brickset.com/sets/4434-1,true,false,false,0,0,6682,2437,14.99,19.99,24.99,,2011-12-15,2012-11-08,4.6,10,Box,Retail,2,11,5,12,19.1,35.41,5.89,0.39,Normal,0,5.70201E+12,6.73419E+11,2013-06-14T17:57:52.573
8939,4435,1,Car and Caravan,2012,City,Modern day,Traffic,218,2,true,4435-1,https://images.brickset.com/sets/small/4435-1.jpg,https://images.brickset.com/sets/small/4435-1.jpg,https://images.brickset.com/sets/images/4435-1.jpg,https://brickset.com/sets/4435-1,true,false,false,0,0,7021,2485,14.99,19.99,24.99,,2011-11-11,2012-11-17,4,4,Box,Retail,2,6,5,12,19.1,35.41,5.89,0.42,Normal,0,5.70201E+12,6.73419E+11,2012-11-25T22:50:56.96
8934,4436,1,Patrol Car,2012,City,Modern day,Forest Police,97,2,true,4436-1,https://images.brickset.com/sets/small/4436-1.jpg,https://images.brickset.com/sets/small/4436-1.jpg,https://images.brickset.com/sets/images/4436-1.jpg,https://brickset.com/sets/4436-1,true,false,false,0,0,8123,1185,7.99,11.99,14.99,,2011-11-11,2013-12-15,4,6,Box,Retail,4,9,5,12,14.1,19.1,4.6,0.15,Normal,0,5.70201E+12,6.73419E+11,2011-10-16T04:19:06.543
8935,4437,1,Police Pursuit,2012,City,Modern day,Forest Police,129,2,true,4437-1,https://images.brickset.com/sets/small/4437-1.jpg,https://images.brickset.com/sets/small/4437-1.jpg,https://images.brickset.com/sets/images/4437-1.jpg,https://brickset.com/sets/4437-1,true,false,false,0,0,6776,1331,12.99,17.99,19.99,,2011-11-11,2014-12-21,4.333333333,3,Box,Retail,4,13,5,12,19.1,26.2,4.6,0.28,Normal,0,5.70201E+12,6.73419E+11,2011-10-16T04:19:07.327
9076,4438,1,Robbers' Hideout,2012,City,Modern day,Forest Police,317,4,true,4438-1,https://images.brickset.com/sets/small/4438-1.jpg,https://images.brickset.com/sets/small/4438-1.jpg,https://images.brickset.com/sets/images/4438-1.jpg,https://brickset.com/sets/4438-1,true,false,false,0,0,2252,2648,34.99,39.99,49.99,,2011-12-15,2012-11-17,3.8,5,Box,Retail - limited,4,18,5,12,,,,,Normal,0,,,2015-12-19T21:14:54.277
8932,4439,1,Heavy-Lift Helicopter,2012,City,Modern day,Forest Police,393,3,true,4439-1,https://images.brickset.com/sets/small/4439-1.jpg,https://images.brickset.com/sets/small/4439-1.jpg,https://images.brickset.com/sets/images/4439-1.jpg,https://brickset.com/sets/4439-1,true,false,false,0,0,6031,1908,34.99,49.99,64.99,,2011-11-11,2014-07-19,3.6,5,Box,Retail,4,13,6,12,28.2,48,7.4,0.94,Normal,0,5.70201E+12,6.73419E+11,2011-10-16T04:19:09.813
8931,4440,1,Forest Police Station,2012,City,Modern day,Forest Police,633,5,true,4440-1,https://images.brickset.com/sets/small/4440-1.jpg,https://images.brickset.com/sets/small/4440-1.jpg,https://images.brickset.com/sets/images/4440-1.jpg,https://brickset.com/sets/4440-1,true,false,false,0,0,4831,2216,59.99,79.99,99.99,,2011-11-11,2013-12-04,4.166666667,6,Box,Retail,13,18,6,12,37.8,48,7.1,1.33,Normal,0,5.70201E+12,6.73419E+11,2011-10-16T14:25:16.797
8933,4441,1,Police Dog Van,2012,City,Modern day,Forest Police,313,2,true,4441-1,https://images.brickset.com/sets/small/4441-1.jpg,https://images.brickset.com/sets/small/4441-1.jpg,https://images.brickset.com/sets/images/4441-1.jpg,https://brickset.com/sets/4441-1,true,false,false,0,0,3760,1902,19.99,34.99,44.99,,2011-11-11,2012-10-29,4.833333333,6,Box,Retail,4,17,5,12,26.19,38.2,5.64,0.55,Normal,0,5.70201E+12,6.73419E+11,2011-10-16T14:25:17.747
9580,4442,1,Glider,2012,City,Modern day,Airport,101,2,true,4442-1,https://images.brickset.com/sets/small/4442-1.jpg,https://images.brickset.com/sets/small/4442-1.jpg,https://images.brickset.com/sets/images/4442-1.jpg,https://brickset.com/sets/4442-1,true,false,false,0,0,848,1445,15,,,,,,5,1,Box,Promotional (Airline),1,0,5,12,,,,,Normal,0,,6.73419E+11,2016-05-17T22:42:01.23
9769,4473,1,Police Helicopter,2012,City,Modern day,Police,112,2,true,4473-1,https://images.brickset.com/sets/small/4473-1.jpg,https://images.brickset.com/sets/small/4473-1.jpg,https://images.brickset.com/sets/images/4473-1.jpg,https://brickset.com/sets/4473-1,true,false,false,0,0,799,1129,17.99,17.99,,,,,4,1,Box,Promotional (Airline),1,0,5,12,9.6,19,5.8,,Normal,0,,6.73419E+11,2016-11-02T19:33:10.71
8543,4641,1,Speedboat,2011,City,Modern day,Harbour,34,1,true,4641-1,https://images.brickset.com/sets/small/4641-1.jpg,https://images.brickset.com/sets/small/4641-1.jpg,https://images.brickset.com/sets/images/4641-1.jpg,https://brickset.com/sets/4641-1,true,false,false,0,0,6158,1130,3.99,4.99,6.99,,2011-05-13,2012-11-26,3.888888889,9,Box,Retail,2,9,5,12,9.09,12.19,5.84,0.08,Normal,0,,6.73419E+11,2011-02-22T12:12:08.583
8544,4642,1,Fishing Boat,2011,City,Modern day,Harbour,64,2,true,4642-1,https://images.brickset.com/sets/small/4642-1.jpg,https://images.brickset.com/sets/small/4642-1.jpg,https://images.brickset.com/sets/images/4642-1.jpg,https://brickset.com/sets/4642-1,true,false,false,0,0,5998,1788,13.99,19.99,24.99,,2011-05-13,2012-12-19,3.75,4,Box,Retail,2,13,5,12,19.1,26.19,4.6,0.26,Normal,0,5.70201E+12,6.73419E+11,2011-02-22T12:12:09.24
8545,4643,1,Power Boat Transporter,2011,City,Modern day,Harbour,254,2,true,4643-1,https://images.brickset.com/sets/small/4643-1.jpg,https://images.brickset.com/sets/small/4643-1.jpg,https://images.brickset.com/sets/images/4643-1.jpg,https://brickset.com/sets/4643-1,true,false,false,0,0,3962,1842,19.99,39.99,49.99,,2011-05-13,2012-01-20,4.333333333,3,Box,Retail,3,13,5,12,28.19,48.01,6.1,0.65,Normal,0,5.70201E+12,6.73419E+11,2011-02-22T12:12:10.003
8546,4644,1,Marina,2011,City,Modern day,Harbour,294,5,true,4644-1,https://images.brickset.com/sets/small/4644-1.jpg,https://images.brickset.com/sets/small/4644-1.jpg,https://images.brickset.com/sets/images/4644-1.jpg,https://brickset.com/sets/4644-1,true,false,false,0,0,4230,2252,41.99,49.99,64.99,,2011-05-13,2012-12-10,3.833333333,6,Box,Retail,3,13,5,12,28.19,54,5.89,0.88,Normal,0,5.70201E+12,6.73419E+11,2011-02-22T12:12:10.707
8547,4645,1,Harbour,2011,City,Modern day,Harbour,551,4,true,4645-1,https://images.brickset.com/sets/small/4645-1.jpg,https://images.brickset.com/sets/small/4645-1.jpg,https://images.brickset.com/sets/images/4645-1.jpg,https://brickset.com/sets/4645-1,true,false,false,0,0,3646,2784,71.99,89.99,119.99,,2011-05-13,2012-11-07,3,5,Box,Retail,4,15,6,12,37.8,58.19,8.71,1.65,Normal,0,5.70201E+12,6.73419E+11,2011-02-22T12:12:23.81
4800,4778,1,Airline Promotional Set,2005,City,Modern day,Airport,108,1,true,4778-1,https://images.brickset.com/sets/small/4778-1.jpg,https://images.brickset.com/sets/small/4778-1.jpg,https://images.brickset.com/sets/images/4778-1.jpg,https://brickset.com/sets/4778-1,true,false,false,0,0,280,1092,,,,,,,4,1,Box,Promotional (Airline),1,0,,,,,,,Normal,0,,,2014-03-13T18:43:38.55
